Symbol,Name,"Wtd Alpha",Rank,"Prev Rank",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
AKAST.O.DX,"Akastor ASA",+81.08,35,N/A,10.16,-0.44,-4.15%,11.1,4.975,+68.21%,2022-08-15
ARISE.S.DX,"Arise Ab",+79.38,36,N/A,67.9,1.5,+2.26%,67.9,34.475,+60.05%,2022-08-15
ALGTR.FP,"Groupe Tera",+79.18,37,N/A,7.3,-0.1,-1.35%,8.65,3.46,+102.78%,2022-08-14
BWLPG.O.DX,"Bw Lpg Ltd",+75.74,38,N/A,80.7,-4.3,-5.06%,87.8,41.46,+61.24%,2022-08-15
FRO.O.DX,"Frontline Ltd/Bermuda",+74.03,39,N/A,106.8,-1.7,-1.57%,111,55.38,+64.11%,2022-08-15
ALBOA.FP,"Boa Concept",+73.66,41,N/A,33.5,-0.7,-2.05%,35.9,15.96,+109.38%,2022-08-14
DNO.O.DX,"Dno ASA",+69.90,40,N/A,14.67,-0.76,-4.93%,17.96,7.448,+70.28%,2022-08-15
RECSI.O.DX,"Rec Silicon ASA",+69.15,45,N/A,24.27,1.11,+4.79%,24.32,12.12,+45.85%,2022-08-15
SOFF.O.DX,"Solstad Offshore ASA",+68.83,42,N/A,31.8,-1.6,-4.79%,49.425,4.495,+415.40%,2022-08-15
WNRG.NA,"SPDR MSCI W Energy",+67.38,43,N/A,40.675,-0.36,-0.88%,45.755,22.445,+68.29%,2022-08-14
DRLCO.C.DX,"Drilling CO of 1972 A/S/The",+66.35,44,N/A,356.4,-14.4,-3.88%,421.6,198.6,+47.15%,2022-08-15
RHM.D.DX,"Rheinmetall Ag",+66.19,46,N/A,169,1.7,+1.02%,227.75,76.29,+101.33%,2022-08-15
SDF.D.DX,"K+S Ag",+65.45,47,62,21.81,0.68,+3.22%,36.45,10.925,+84.36%,2022-08-15
AOI.S.DX,"Africa Oil Corp",+65.19,48,45,19.62,-0.5,-2.49%,22,10.58,+78.36%,2022-08-15
MSEIS.O.DX,"Magseis Fairfield ASA",+64.80,49,N/A,8.17,-0.15,-1.80%,8.45,3.205,+121.53%,2022-08-15
SCHP.FP,"Seche Environnem.",+63.63,50,N/A,83,0.1,+0.12%,88.8,47.15,+68.19%,2022-08-14
EKT.D.DX,"Energiekontor Ag",+62.21,51,N/A,97,0.6,+0.62%,102,52.2,+72.60%,2022-08-15
SBO.V.DX,"Schoeller-Bleckmann Oilfield Equipment Ag",+61.11,53,N/A,51.3,-0.5,-0.97%,66.9,28.25,+63.90%,2022-08-15
DKUPL.FP,Dekuple,+60.83,52,N/A,30.5,0,0.00%,36.2,17.05,N/A,2022-08-14
SEFER.FP,"Sergeferrari Group",+60.59,54,42,14.76,-0.24,-1.60%,19.78,7.59,+94.47%,2022-08-14
ALMOU.FP,Moulinvest,+58.70,55,50,46,-0.6,-1.29%,66.2,23.3,+74.24%,2022-08-14
CE2.D.DX,"Cropenergies Ag",+57.47,56,N/A,15.43,-0.13,-0.84%,15.88,9.77,+53.99%,2022-08-15
ECV.D.DX,"Encavis Ag",+57.23,57,N/A,23.25,1.095,+4.94%,23.34,11.87,+47.25%,2022-08-15
ALBLD.FP,Bilendi,+56.87,58,N/A,25.7,-0.6,-2.28%,31.6,14.2,+71.33%,2022-08-14
S92.D.DX,"Sma Solar Technology Ag",+55.67,59,N/A,58.85,-0.55,-0.93%,60.95,25.2,+39.13%,2022-08-15
GSF.O.DX,"Grieg Seafood ASA",+52.64,62,N/A,132.05,1.25,+0.96%,156.15,77.6,+48.75%,2022-08-15
TUB.E.DX,"Tubacex Sa",+52.59,60,N/A,2.25,0.025,+1.12%,2.64,1.4,+48.22%,2022-08-15
RWI.NA,Renewi,+51.97,61,N/A,9.7,0.12,+1.25%,10.09,5.945,+53.97%,2022-08-14
CRB.FP,"Lyxor ETF CRB",+51.80,63,N/A,26.873,-0.198,-0.73%,29.5,16.802,+53.91%,2022-08-14
LEO.S.DX,"Leovegas Ab",+51.45,64,N/A,60.75,0.1,+0.16%,61,29.98,+59.32%,2022-08-15
ARGX.BB,"Argenx Se",+50.63,65,N/A,375.3,9.2,+2.51%,387,224.1,+40.77%,2022-08-15
TGS.O.DX,"Tgs Nopec Geophysical CO ASA",+50.46,68,N/A,141.8,-7.5,-5.02%,178.3,77.11,+44.90%,2022-08-15
ADV.D.DX,"Adva Optical Networking Se",+50.26,67,N/A,18.43,-0.04,-0.22%,18.55,11.1,+40.69%,2022-08-15
ENC.E.DX,"Ence Energia Y Celulosa Sa",+50.19,69,N/A,3.644,0.012,+0.33%,3.768,2.018,+38.13%,2022-08-15
AMPLI.FP,"Amplitude Surgical",+50.09,66,N/A,3.07,-0.02,-0.65%,3.19,1.95,+43.46%,2022-08-14
COMF.NA,"L&G Lg Dat Commod",+49.26,70,N/A,23.363,-0.254,-1.08%,25.163,14.85,+51.36%,2022-08-14
HO.FP,Thales,+48.18,77,N/A,121.45,0.45,+0.37%,131.15,70.54,+39.15%,2022-08-14
GET.FP,"Getlink Se",+48.00,74,N/A,19.6,0.2,+1.03%,20.13,12.675,+39.85%,2022-08-14
ANA.E.DX,"Acciona Sa",+47.95,72,N/A,203.4,3.7,+1.85%,204.8,128.5,+47.39%,2022-08-15
SX.FP,"CS [Comm.Systemes]",+47.94,73,N/A,11.1,-0.05,-0.45%,11.2,4.38,+123.79%,2022-08-14
BELCO.O.DX,"Belships ASA",+47.90,75,61,19.96,-0.44,-2.16%,26.475,11.7,+54.73%,2022-08-15
HRPK.D.DX,"7C Solarparken Ag",+47.80,71,N/A,5.44,0.06,+1.12%,5.5,3.655,+45.26%,2022-08-15
ANE.E.DX,"Corp Acciona Energias Renovables Sa",+47.51,76,N/A,41.76,0.52,+1.26%,43.93,26.1,+36.96%,2022-08-15
AM.FP,"Dassault Aviation",+47.32,78,N/A,143.5,2.1,+1.49%,166.3,81.85,+44.29%,2022-08-14
CARM.FP,Carmila,+46.84,80,N/A,17.22,0.04,+0.23%,17.26,11.68,+36.88%,2022-08-14
ELI.BB,Elia,+46.03,79,N/A,153.8,1.9,+1.25%,162.2,97.6,+46.76%,2022-08-15
CDA.FP,"Alpes [Compagnie]",+45.44,84,N/A,17.88,-0.08,-0.45%,18.88,11.54,+36.49%,2022-08-14
HAG.D.DX,"Hensoldt Ag",+45.33,82,N/A,23.25,0.2,+0.87%,30.25,11.63,+63.27%,2022-08-15
NOL.O.DX,"Northern Ocean Ltd",+45.31,81,N/A,11.76,-0.66,-5.31%,16.4,6.4,+43.85%,2022-08-15
CAMX.S.DX,"Camurus Ab",+45.05,83,N/A,237.6,-0.8,-0.34%,249.3,120.5,+31.71%,2022-08-15
AGAS.O.DX,"Avance Gas Holding Ltd",+43.20,85,N/A,56.65,-2.55,-4.31%,65.95,32.24,+38.17%,2022-08-15
SLB.FP,Schlumberger,+42.72,86,N/A,35.1,-0.4,-1.13%,46.1,22.1,+45.64%,2022-08-14
ALOSM.FP,Osmozis,+42.22,87,N/A,8.74,0.12,+1.39%,9.9,5.05,+49.40%,2022-08-14
SAABB.S.DX,"Saab Ab",+41.68,88,N/A,373.1,2.4,+0.65%,448.6,203.35,+46.03%,2022-08-15
ABIO.FP,Albioma,+41.17,89,N/A,50.1,0,0.00%,50.85,29.22,+44.21%,2022-08-14
RAKP.O.DX,"Rak Petroleum Plc",+40.71,90,N/A,13.05,0.25,+1.95%,14.5,8.02,+49.31%,2022-08-15
ADP.FP,Adp,+40.40,91,N/A,140.95,0.65,+0.46%,149.4,96.04,+38.59%,2022-08-14
OLG.FP,"Ol Groupe",+39.85,92,N/A,2.9,0,0.00%,3.26,1.875,+27.19%,2022-08-14
ALFEN.NA,Alfen,+39.80,93,N/A,116,2.35,+2.07%,119.45,59.6,+28.89%,2022-08-14
BANI.BB,"Banimmo A",+39.44,94,N/A,4.4,0.1,+2.33%,4.56,2.96,+47.65%,2022-08-15
WENS.NA,"Ishares Wens",+39.41,96,N/A,6.1,-0.093,-1.50%,7.349,3.99,+40.39%,2022-08-14
PEN.O.DX,"Panoro Energy ASA",+39.36,95,N/A,29.24,-1.06,-3.50%,35.7,18.78,+40.92%,2022-08-15
SII.FP,Sii,+38.32,97,N/A,51.6,-0.5,-0.96%,53.9,35.2,+29.00%,2022-08-14
FUR.NA,Fugro,+38.17,99,N/A,10.92,0.01,+0.09%,14.3,6.289,+38.19%,2022-08-14
CBK.D.DX,"Commerzbank Ag",+38.05,98,N/A,7.1,-0.055,-0.77%,9.253,5.008,+30.18%,2022-08-15
NKT.C.DX,"Nkt A/S",+37.26,100,N/A,381.6,1.6,+0.42%,393.4,215.6,+21.45%,2022-08-15
"Downloaded from Barchart.com as of 08-16-2022 02:09am CDT"
